,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
172,7626.27,7632.88,7623.62,7629.03,7.49941333,57221.851602,7630.1770664
173,7751.84,7761.99,7751.51,7761.99,1.82316801,14139.270438,7755.33048
174,8366.04,8366.98,8357.33,8361.76,2.45676992,20541.37161,8361.1295639
175,8224.69,8224.69,8224.69,8224.69,0.01113663,91.595329395,8224.69
176,7882.83,7888.39,7879.14,7888.39,0.71933548,5671.3251828,7884.1171338
177,8163.46,8168.0,8162.96,8168.0,2.28028157,18614.005912,8163.0295825
178,8224.2,8240.45,8224.2,8230.64,6.17111001,50816.04784,8234.5068809
179,8187.0,8194.58,8187.0,8194.58,0.43867107,3593.6212312,8192.0634318
180,8117.19,8119.67,8117.12,8117.12,0.26045419,2114.3052058,8117.7623052
181,7534.98,7535.0,7534.86,7534.86,0.79979947,6026.4328572,7534.9297958
182,7645.29,7647.71,7645.29,7646.0,2.4547839,18769.367443,7646.0365586
183,7330.2,7332.84,7330.2,7332.77,6.71721544,49255.281778,7332.6934677
184,7453.99,7453.99,7450.11,7450.11,1.00829158,7512.995082,7451.2127553
185,7005.99,7011.41,7004.19,7011.28,4.81183926,33706.211559,7004.8498584
186,7094.01,7094.01,7091.99,7093.28,0.37529719,2662.1189395,7093.3623016
187,6929.36,6933.59,6929.36,6933.59,5.10289261,35373.112398,6931.9727263
188,6589.55,6589.55,6581.63,6584.55,7.82325585,51525.094789,6586.1446662
189,6320.0,6323.6,6299.81,6309.57,7.34992208,46338.594616,6304.6375338
190,6465.9,6465.9,6458.76,6459.86,3.36559908,21749.469479,6462.2876825
191,6111.14,6114.56,6111.14,6114.56,0.14210073,868.7208111,6113.4155405
192,6277.89,6277.89,6277.38,6277.38,3.12393665,19610.387846,6277.4601546
193,6346.14,6346.14,6346.13,6346.13,13.55898813,86047.145231,6346.133237
194,5993.29,5993.29,5977.48,5978.33,10.32259672,61764.69011,5983.4450367
195,6297.25,6297.25,6285.37,6285.37,1.07725266,6776.0192196,6290.0928178
196,6269.28,6269.28,6255.07,6266.97,9.29073068,58152.638673,6259.2104621
197,6413.55,6413.55,6413.55,6413.55,0.0015,9.620325,6413.55
198,6517.43,6528.71,6517.43,6528.71,0.21806298,1422.2914462,6522.3883769
199,6336.04,6336.04,6336.04,6336.04,0.00193314,12.248452366,6336.04
200,6484.76,6485.02,6483.08,6483.09,0.46231704,2997.3244214,6483.2661617
201,6303.77,6303.77,6302.57,6303.09,0.05234864,329.93825107,6302.7091261
202,6729.39,6737.99,6724.55,6737.99,4.20926737,28340.091205,6732.7847614
